title,artist,album,cover,file
Sem Hora,Lagum,Seja o Que Eu Quiser,seja_o_que_eu_quiser.webp,sem_hora.mp3
Telefone,Lagum,Telefone,telefone.webp,telefone.mp3
Oi,Lagum,Coisas da Geração,coisas_da_geracao.webp,oi.mp3
Reggae Bom,Lagum,Coisas da Geração,coisas_da_geracao.webp,reggae_bom.mp3
Não Vou Mentir,Lagum,Não Vou Mentir,nao_vou_mentir.webp,nao_vou_mentir.mp3
Chegou de Manso,Lagum,Coisas da Geração,coisas_da_geracao.webp,chegou_de_manso.mp3
Falando a Verdade,Lagum,Coisas da Geração,coisas_da_geracao.webp,falando_a_verdade.mp3
Andar Sozinho,"Lagum, Jão",Coisas da Geração,coisas_da_geracao.webp,andar_sozinho.mp3
Detesto Despedidas,Lagum,Coisas da Geração,coisas_da_geracao.webp,detesto_despedidas.mp3
Fale Mais,Lagum,Coisas da Geração,coisas_da_geracao.webp,fale_mais.mp3
É Seu,Lagum,Coisas da Geração,coisas_da_geracao.webp,e_seu.mp3
Grato Um Tanto,Lagum,Coisas da Geração,coisas_da_geracao.webp,grato_um_tanto.mp3
Se For Pra Ser,Lagum,Coisas da Geração,coisas_da_geracao.webp,se_for_pra_ser.mp3
Não Vou Falar De Amor,Lagum,MEMÓRIAS (de onde eu nunca fui),memorias_de_onde_eu_nunca_fui.webp,nao_vou_falar_de_amor.mp3
Veja Baby,Lagum,MEMÓRIAS (de onde eu nunca fui),memorias_de_onde_eu_nunca_fui.webp,veja_baby.mp3
Bem Melhor,Lagum,Bem Melhor,bem_melhor.webp,bem_melhor.mp3
Deixa,"Lagum, Ana Gabriela",Deixa (feat. Ana Gabriela),deixa_feat_ana_gabriela.webp,deixa_feat_ana_gabriela.mp3
Ninguém Me Ensinou,Lagum,NINGUÉM ME ENSINOU,ninguem_me_ensinou.webp,ninguem_me_ensinou.mp3
Ou Não,Lagum,Depois do Fim,depois_do_fim.webp,ou_nao.mp3
