title,artist,album,cover,file
Beat It,Michael Jackson,Thriller,thriller.webp,beat_it.mp3
The Girl Is Mine,"Michael Jackson, Paul McCartney",Thriller,thriller.webp,the_girl_is_mine.mp3
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,thriller_25_super_deluxe_edition.webp,billie_jean.mp3
Thriller,Michael Jackson,Thriller 25 Super Deluxe Edition,thriller_25_super_deluxe_edition.webp,thriller.mp3
Bad,Michael Jackson,Number Ones,number_ones.webp,bad.mp3
Black or White,Michael Jackson,Dangerous,dangerous.webp,black_or_white.mp3
Remember the Time,Michael Jackson,Dangerous,dangerous.webp,remember_the_time.mp3
Man in the Mirror,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",history__past_present_and_future__book_i.webp,man_in_the_mirror.mp3
You Are Not Alone,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",history__past_present_and_future__book_i.webp,you_are_not_alone.mp3
They Dont Care About Us,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",history__past_present_and_future__book_i.webp,they_dont_care_about_us.mp3
Rock With You,Michael Jackson,Off the Wall,off_the_wall.webp,rock_with_you.mp3
Don't Stop 'Til You Get Enough,Michael Jackson,Off the Wall,off_the_wall.webp,dont_stop_til_you_get_enough.mp3
Ben,Michael Jackson,Ben,ben.webp,ben.mp3
Music And Me,Michael Jackson,Music and Me,music_and_me.webp,music_and_me.mp3
